rec,address,code2,code,count,lat,lng
1,四川省江油市青莲镇东河村民委员会,510781104203,510781104203,2782,31.671351898,104.706531942
1,四川省江油市青莲镇珠帘村民委员会,510781104204,510781104204,1748,31.694593998,104.696064489
1,四川省江油市青莲镇太华村民委员会,510781104205,510781104205,2121,31.694593998,104.696064489
1,四川省江油市青莲镇裕光村民委员会,510781104206,510781104206,3681,31.694593998,104.696064489
1,四川省江油市青莲镇法华村民委员会,510781104208,510781104208,1,31.694593998,104.696064489
1,四川省三台县光辉镇社区居民委员会,510722130001,510722130001,467,31.313146762,105.025517100
1,四川省绵阳市北川县小坝乡聚宝村二组,510726013012,510726013012,1,32.031153358,104.231439793
1,四川省梓潼县小垭乡街坊村民委员会,510725203201,510725203201,580,31.873892766,105.198619276
1,四川省三台县立新镇新民村民委员会,510722138201,510722138201,1497,31.277960433,104.765385337
1,四川省绵阳市三台县立新镇干柏树村委会四组,510722138202,510722138202,1056,31.275758861,104.768847862
1,四川省三台县立新镇万家村民委员会,510722138203,510722138203,1295,31.275758861,104.768847862
1,四川省绵阳市三台县立新镇白灵山村委会五组,510722138204,510722138204,1296,31.275758861,104.768847862
1,四川省三台县立新镇红星坝村民委员会,510722138205,510722138205,1215,31.275758861,104.768847862
1,四川省三台县立新镇石垭村民委员会,510722138206,510722138206,961,31.275758861,104.768847862
1,四川省绵阳市三台县立新镇鹤湾村委会二组,510722138207,510722138207,947,31.254260656,104.755871497
1,四川省三台县立新镇新埝村民委员会,510722138208,510722138208,1353,31.275758861,104.768847862
1,四川省绵阳市涪城区丰谷镇第一居委会二组,510703100001,510703100001,2715,31.352073165,104.835313240
1,四川省绵阳市涪城区丰谷镇第二居委会,510703100002,510703100002,3505,31.352073165,104.835313240
1,四川省绵阳市涪城区丰谷镇第三居委会一组,510703100003,510703100003,765,31.352073165,104.835313240
1,四川省三台县立新镇凉泉村民委员会,510722138212,510722138212,1193,31.275758861,104.768847862
1,四川省三台县立新镇灯台村民委员会,510722138213,510722138213,1040,31.275758861,104.768847862
1,四川省绵阳市三台县立新镇碾子湾村委会八组,510722138214,510722138214,1232,31.275758861,104.768847862
1,四川省绵阳市涪城区关帝镇,510722138215,510722138215,1337,31.327613868,104.790060565
1,四川省三台县立新镇石梯村民委员会,510722138216,510722138216,933,31.275758861,104.768847862
1,四川省绵阳市三台县立新镇团辉村委会八组,510722138217,510722138217,1382,31.275758861,104.768847862
1,四川省绵阳市涪城区金峰镇八庙子村民委员会,510703108202,510703108202,913,31.358791949,104.650627204
1,四川省绵阳市涪城区金峰镇新丰村委会一组,510703108203,510703108203,929,31.365058162,104.639970700
1,四川省绵阳市涪城区金峰镇分水村委会四组,510703108204,510703108204,1691,31.376715301,104.641288484
1,四川省绵阳市涪城区金峰镇五福寺村委会一组,510703108205,510703108205,1774,31.348228650,104.651356559
1,四川省绵阳市涪城区金峰镇大石桥村民委员会,510703108206,510703108206,1562,31.348228650,104.651356559
